created_at,screen_name,text,favorite_count,retweet_count,urls_expanded_url
2018-02-05T20:11:14Z,robinson_es,"You can find my slides from my #rstudioconf talk, “The Lesser Known Stars of the Tidyverse,” here: https://t.co/2yZYccFjGr. Recording available soon! https://t.co/AiMMDP2ZTB",182,51,https://github.com/robinsones/rstudio-conf-2018-talk/blob/master/Rstudio_conference_2018_presentation.pdf
2018-02-05T19:46:02Z,dataandme,"🐜 Check it, @ajmcoqui's ""Debugging in RStudio"" 
📽 Slides *and* cheat sheet!
https://t.co/rAvKP9iXLa #rstats #rstudioconf https://t.co/T4627GcuXK",59,14,https://buff.ly/2s7W8ED
2018-02-05T19:23:27Z,jonmcalder,"So many #rstats highlights in RWeekly 2018-6! Interview with @ma_salmon who recently joined @rOpenSci, @RConsortium call for proposals, @theRcast interviews @romain_francois &amp; @thomasp85 at #rstudioconf , and @LucyStats &amp; @LittleMissData recap #ddtx18! https://t.co/CXdoKjrOpd https://t.co/E9c8R4Pl9D",30,12,https://rweekly.org/2018-6.html
2018-02-05T19:22:54Z,drob,"Slides for my #rstudioconf talk, ""Teach the tidyverse to beginners"", are available here! https://t.co/7fMpJJOE4n #rstats #tidyverse https://t.co/3zYck4XJNW",273,73,https://github.com/rstudio/rstudio-conf/tree/master/2018/TeachTidyverse-DavidRobinson
2018-02-05T15:57:56Z,robinson_es,"Marco Blume of @PinnacleSports gave one of my favorite #rstudioconf talks, and he did it w/o the slides he had prepared (tech issues). They’re available now at https://t.co/tN6xPZO3nD; check them out to learn about how they successfully spread R *everywhere* in the company https://t.co/dqKsedLezO",74,11,https://www.slideshare.net/Pinnacle_Twitter/r-studio-conference
2018-02-05T08:22:58Z,AmeliaMN,Thanks to @simecek for compiling all the #rstudioconf slide decks in one place! https://t.co/GWvyp35mWF,133,55,https://github.com/simecek/RStudioConf2018Slides
2018-02-05T03:09:04Z,dataandme,"Slides 📽 from my talk, ""contributing to the tidyverse"" at #rstudioconf https://t.co/hl7mmc1RQv #rstats #tidyverse https://t.co/jSs6fTPD8v",181,41,http://bit.ly/tverse-contrib
2018-02-04T11:28:46Z,_NickGolding_,"Any #rstats folks who want to know exactly what deep learning / tensorflow is and how to do it from R, JJ Allaire's #rstudioconf keynote is a must watch. It's at https://t.co/YL3MXHwh80, starting ~10mins in 1/n",67,26,https://youtu.be/Ol1FjFR2IMU
2018-02-04T03:04:35Z,Voovarb,"Inspired by the crazy level of productivity at #rstudioconf, I have finally finished writing the first official Cramer Fish Sciences blog post! Featuring special guest @hrbrmstr. Look forward to much more fishy viz to come! #rstats https://t.co/lAmPMHWJDq",44,13,https://fishsciences.github.io/post/visualizing-fish-encounter-histories/
2018-02-04T01:14:26Z,drob,"An audience member asks if there will ever be a manifesto of #tidyverse principles. It’s a draft but there totally is!

https://t.co/3jeOkf3QNJ

#rstudioconf https://t.co/d53wQ1KzCF",132,38,https://cran.r-project.org/web/packages/tidyverse/vignettes/manifesto.html
2018-02-04T00:54:06Z,astroeringrand,"I’ve seen this often and can’t help but think about what it means for hiring bias. I don’t know how people can check all the boxes with private repos, 40+ hr work weeks, and children! Are we limiting the field to people with time vs people with the skills? #rstudioconf https://t.co/qgTfJZu8H7",199,53,https://twitter.com/d4tagirl/status/959951268545413120
2018-02-03T22:49:51Z,robinson_es,".@old_man_chester &amp; @rudeboybert created their (free!) intro stats and data science book w/ goal that readers can take what they learn in and use it outside of classroom for job, senior thesis, etc. Find at https://t.co/LmjkC21KXG #rstudioconf https://t.co/8sf3xufkMH",40,14,http://moderndive.com
2018-02-03T21:15:52Z,AmeliaMN,The materials for my Intro to R &amp; RStudio workshop are here: https://t.co/OnhaC3PMpf #rstudioconf,254,56,https://github.com/AmeliaMN/IntroToR
2018-02-03T20:16:00Z,drob,".@dataandme points to @xieyihui's post about GH pull requests: ""You Do Not Need to Tell Me I Have A Typo in My Documentation"" https://t.co/Bh3d9vbihP #rstudioconf https://t.co/HVyPcSwwG0",59,15,https://yihui.name/en/2013/06/fix-typo-in-documentation/
2018-02-03T19:59:24Z,javierluraschi,"#rstudioconf slides for ""Deploying #tensorflow models"" are available here: https://t.co/TglmbM3cBY #keras #kerasjs #rstats https://t.co/zYHV7gPDt9",36,14,http://rpubs.com/jluraschi/deploying-tensorflow-rstudio-conf
2018-02-03T19:42:29Z,seankross,".@jimhester_ showing off lots of free resources for writing R packages at #rstudioconf! @hadleywickham’s “R Packages” is amazing https://t.co/MG0kFUvgWV, also check out “Mastering Software Development in R” by @rdpeng @gbwanderson and me: https://t.co/pnWq8zYNvR https://t.co/EZg3NLmal3",49,12,http://r-pkgs.had.co.nz/
2018-02-03T19:42:29Z,seankross,".@jimhester_ showing off lots of free resources for writing R packages at #rstudioconf! @hadleywickham’s “R Packages” is amazing https://t.co/MG0kFUvgWV, also check out “Mastering Software Development in R” by @rdpeng @gbwanderson and me: https://t.co/pnWq8zYNvR https://t.co/EZg3NLmal3",49,12,https://bookdown.org/rdpeng/RProgDA/
2018-02-03T19:29:08Z,JennyBryan,"How to make an #rstats package (maybe even in 20 minutes!), everything from @jimhester_ ’s #rstudioconf talk https://t.co/mRyfDSpdoY",148,47,https://rstd.io/rpkgs2018
2018-02-03T19:18:10Z,sharon000,"Great resources for starting to write #rstats packages, @GioraSimchoni shares with #rstudioconf 
https://t.co/3ZT8IdmSkY https://t.co/ARqLD3EYGQ",47,12,http://giorasimchoni.com/rstudio_conf_2018_talk.html#/20
2018-02-03T18:23:23Z,kevin_ushey,*whispers* check out the R bindings to Python available in the reticulate package. The quietly awesome work behind the TensorFlow bindings. https://t.co/d23fQkKOVS #rstudioconf,82,16,https://github.com/rstudio/reticulate
2018-02-03T18:16:49Z,sharon000,"JJ Allaire's key takeaways from his #rstudioconf talk on #DeepLearning with R. 
Note: All slides are available at 
https://t.co/ttNYZzdyTn
#rstats https://t.co/xmJ8UB0psV",16,11,http://bit.ly/2EDvXbl
2018-02-03T17:54:11Z,drob,How can you do deep learning with @keras on small data? Transfer learning: use a pre-trained network as a starting point https://t.co/yf9jT75ulJ #rstudioconf https://t.co/mzCmFxdzBM,41,16,https://tensorflow.rstudio.com/blog/keras-image-classification-on-small-datasets.html
2018-02-03T17:52:23Z,sharon000,Cheat sheet for deep learning with Keras and #rstats: https://t.co/LJFblX72sd  #rstudioconf #DeepLearning,56,23,http://bit.ly/2EDNro2
2018-02-03T17:44:28Z,drob,Check out the keras package! I really like how the pipe operator is used to define multiple layers in a neural network https://t.co/BneOQfMe1V #rstudioconf @fly_upside_down https://t.co/fBxjEPEHuo,97,13,https://tensorflow.rstudio.com/keras/
2018-02-03T17:39:26Z,drob,.@fly_upside_down shows how fast the field of deep learning by sharing a cool paper from just last week: predictive modeling of raw electronic health records https://t.co/KSegaBikkL #rstudioconf https://t.co/mf5spjQqPb,38,14,https://arxiv.org/abs/1801.07860
2018-02-03T17:38:51Z,rstudio,"In case you missed it, we are live-streaming day 2 of rstudio::conf 2018 -&gt; https://t.co/T8BIj2RaJQ. The stream is on a new channel due to technical difficulties with our other account. We appreciate the patience and flexibility. #rstudioconf #rstats #rstudio",28,13,http://bit.ly/2s3Mzq3
2018-02-03T17:10:05Z,rstudio,"We are live-streaming:  #rstudioconf 2018 keynote: “Machine Learning with Tensor Flow and R”, presented by RStudio founder J.J. Allaire. Access the stream -&gt; https://t.co/RBGqaqknxd #Rstats #RStudio",64,25,http://bit.ly/2nCVsRS
